sentence,sentiment,preprocessed
house correspondents dinner was last night whoopi barbara amp sherri went obama got a standing ovation,1,"{'cleaned_text': 'hous correspond dinner last night whoopi barbara amp sherri went obama got stand ovat', 'tokens': ['hous', 'correspond', 'dinner', 'last', 'night', 'whoopi', 'barbara', 'amp', 'sherri', 'went', 'obama', 'got', 'stand', 'ovat'], 'pos_tags': [('hous', 'ADJ'), ('correspond', 'NOUN'), ('dinner', 'NOUN'), ('last', 'ADJ'), ('night', 'NOUN'), ('whoopi', 'PROPN'), ('barbara', 'PROPN'), ('amp', 'PROPN'), ('sherri', 'PROPN'), ('went', 'VERB'), ('obama', 'PROPN'), ('got', 'VERB'), ('stand', 'VERB'), ('ovat', 'PROPN')], 'named_entities': [('last night', 'TIME')]}"
watchin espn jus seen this new nike commerical with a puppet lebron sh t was hilarious lmao,1,"{'cleaned_text': 'watchin espn ju seen new nike commer puppet lebron sh hilari lmao', 'tokens': ['watchin', 'espn', 'ju', 'seen', 'new', 'nike', 'commer', 'puppet', 'lebron', 'sh', 'hilari', 'lmao'], 'pos_tags': [('watchin', 'PROPN'), ('espn', 'PROPN'), ('ju', 'PROPN'), ('seen', 'VERB'), ('new', 'ADJ'), ('nike', 'ADJ'), ('commer', 'PROPN'), ('puppet', 'PROPN'), ('lebron', 'PROPN'), ('sh', 'PROPN'), ('hilari', 'PROPN'), ('lmao', 'PROPN')], 'named_entities': [('lebron sh hilari lmao', 'PERSON')]}"
dear nike stop with the flywire that shit is a waste of science and ugly love,0,"{'cleaned_text': 'dear nike stop flywir shit wast scienc ugli love', 'tokens': ['dear', 'nike', 'stop', 'flywir', 'shit', 'wast', 'scienc', 'ugli', 'love'], 'pos_tags': [('dear', 'ADJ'), ('nike', 'ADJ'), ('stop', 'NOUN'), ('flywir', 'NOUN'), ('shit', 'PROPN'), ('wast', 'PROPN'), ('scienc', 'PROPN'), ('ugli', 'PROPN'), ('love', 'NOUN')], 'named_entities': []}"
lebron best athlete of our generation if not all time basketball related i don t want to get into inter sport debates about __,1,"{'cleaned_text': 'lebron best athlet gener time basketbal relat want get inter sport debat', 'tokens': ['lebron', 'best', 'athlet', 'gener', 'time', 'basketbal', 'relat', 'want', 'get', 'inter', 'sport', 'debat'], 'pos_tags': [('lebron', 'PROPN'), ('best', 'ADJ'), ('athlet', 'NOUN'), ('gener', 'PROPN'), ('time', 'PROPN'), ('basketbal', 'PROPN'), ('relat', 'PROPN'), ('want', 'VERB'), ('get', 'VERB'), ('inter', 'PROPN'), ('sport', 'NOUN'), ('debat', 'NOUN')], 'named_entities': [('lebron', 'PERSON')]}"
i was talking to this guy last night and he was telling me that he is a die hard spurs fan he also told me that he hates lebron james,0,"{'cleaned_text': 'talk guy last night tell die hard spur fan also told hate lebron jame', 'tokens': ['talk', 'guy', 'last', 'night', 'tell', 'die', 'hard', 'spur', 'fan', 'also', 'told', 'hate', 'lebron', 'jame'], 'pos_tags': [('talk', 'NOUN'), ('guy', 'NOUN'), ('last', 'ADJ'), ('night', 'NOUN'), ('tell', 'VERB'), ('die', 'VERB'), ('hard', 'ADJ'), ('spur', 'NOUN'), ('fan', 'NOUN'), ('also', 'ADV'), ('told', 'VERB'), ('hate', 'PROPN'), ('lebron', 'PROPN'), ('jame', 'PROPN')], 'named_entities': [('last night', 'TIME'), ('lebron jame', 'PERSON')]}"
i love lebron,1,"{'cleaned_text': 'love lebron', 'tokens': ['love', 'lebron'], 'pos_tags': [('love', 'VERB'), ('lebron', 'PROPN')], 'named_entities': []}"
lebron is a beast but i m still cheering the a til the end,0,"{'cleaned_text': 'lebron beast still cheer til end', 'tokens': ['lebron', 'beast', 'still', 'cheer', 'til', 'end'], 'pos_tags': [('lebron', 'PROPN'), ('beast', 'NOUN'), ('still', 'ADV'), ('cheer', 'VERB'), ('til', 'PROPN'), ('end', 'NOUN')], 'named_entities': [('lebron', 'PERSON')]}"
lebron is the boss,1,"{'cleaned_text': 'lebron bos', 'tokens': ['lebron', 'bos'], 'pos_tags': [('lebron', 'PROPN'), ('bos', 'PROPN')], 'named_entities': [('lebron bos', 'PERSON')]}"
lebron is a hometown hero to me lol i love the lakers but let s go cavs lol,1,"{'cleaned_text': 'lebron hometown hero lol love laker let go cav lol', 'tokens': ['lebron', 'hometown', 'hero', 'lol', 'love', 'laker', 'let', 'go', 'cav', 'lol'], 'pos_tags': [('lebron', 'PROPN'), ('hometown', 'NOUN'), ('hero', 'NOUN'), ('lol', 'PROPN'), ('love', 'PROPN'), ('laker', 'NOUN'), ('let', 'VERB'), ('go', 'VERB'), ('cav', 'NOUN'), ('lol', 'NOUN')], 'named_entities': [('lebron', 'PERSON')]}"
lebron and zydrunas are such an awesome duo,1,"{'cleaned_text': 'lebron zydruna awesom duo', 'tokens': ['lebron', 'zydruna', 'awesom', 'duo'], 'pos_tags': [('lebron', 'PROPN'), ('zydruna', 'PROPN'), ('awesom', 'NOUN'), ('duo', 'NOUN')], 'named_entities': [('lebron zydruna awesom duo', 'PERSON')]}"
lebron is a beast nobody in the nba comes even close,1,"{'cleaned_text': 'lebron beast nobodi nba come even close', 'tokens': ['lebron', 'beast', 'nobodi', 'nba', 'come', 'even', 'close'], 'pos_tags': [('lebron', 'PROPN'), ('beast', 'PROPN'), ('nobodi', 'PROPN'), ('nba', 'PROPN'), ('come', 'VERB'), ('even', 'ADV'), ('close', 'ADJ')], 'named_entities': [('lebron beast nobodi nba come', 'PERSON')]}"
downloading apps for my iphone so much fun there literally is an app for just about anything,1,"{'cleaned_text': 'download app iphon much fun liter app anyth', 'tokens': ['download', 'app', 'iphon', 'much', 'fun', 'liter', 'app', 'anyth'], 'pos_tags': [('download', 'PROPN'), ('app', 'PROPN'), ('iphon', 'VERB'), ('much', 'ADJ'), ('fun', 'NOUN'), ('liter', 'NOUN'), ('app', 'NOUN'), ('anyth', 'NOUN')], 'named_entities': []}"
good news just had a call from the visa office saying everything is fine what a relief i am sick of scams out there stealing,1,"{'cleaned_text': 'good news call visa offic say everyth fine relief sick scam steal', 'tokens': ['good', 'news', 'call', 'visa', 'offic', 'say', 'everyth', 'fine', 'relief', 'sick', 'scam', 'steal'], 'pos_tags': [('good', 'PROPN'), ('news', 'PROPN'), ('call', 'NOUN'), ('visa', 'NOUN'), ('offic', 'NOUN'), ('say', 'VERB'), ('everyth', 'VERB'), ('fine', 'ADJ'), ('relief', 'NOUN'), ('sick', 'ADJ'), ('scam', 'NOUN'), ('steal', 'NOUN')], 'named_entities': []}"
awesome come back from via,1,"{'cleaned_text': 'awesom come back via', 'tokens': ['awesom', 'come', 'back', 'via'], 'pos_tags': [('awesom', 'NOUN'), ('come', 'VERB'), ('back', 'ADV'), ('via', 'ADP')], 'named_entities': [('awesom come back', 'PERSON')]}"
in montreal for a long weekend of r amp r much needed,1,"{'cleaned_text': 'montreal long weekend r amp r much need', 'tokens': ['montreal', 'long', 'weekend', 'r', 'amp', 'r', 'much', 'need'], 'pos_tags': [('montreal', 'PROPN'), ('long', 'ADJ'), ('weekend', 'NOUN'), ('r', 'NOUN'), ('amp', 'NOUN'), ('r', 'NOUN'), ('much', 'ADJ'), ('need', 'NOUN')], 'named_entities': [('weekend', 'DATE')]}"
booz allen hamilton has a bad ass homegrown social collaboration platform way cool ttiv,1,"{'cleaned_text': 'booz allen hamilton bad as homegrown social collabor platform way cool ttiv', 'tokens': ['booz', 'allen', 'hamilton', 'bad', 'as', 'homegrown', 'social', 'collabor', 'platform', 'way', 'cool', 'ttiv'], 'pos_tags': [('booz', 'VERB'), ('allen', 'PROPN'), ('hamilton', 'PROPN'), ('bad', 'ADJ'), ('as', 'ADP'), ('homegrown', 'ADJ'), ('social', 'ADJ'), ('collabor', 'NOUN'), ('platform', 'NOUN'), ('way', 'NOUN'), ('cool', 'ADJ'), ('ttiv', 'NOUN')], 'named_entities': [('allen hamilton', 'PERSON')]}"
mluc customer innovation award winner booz allen hamilton,1,"{'cleaned_text': 'mluc custom innov award winner booz allen hamilton', 'tokens': ['mluc', 'custom', 'innov', 'award', 'winner', 'booz', 'allen', 'hamilton'], 'pos_tags': [('mluc', 'PROPN'), ('custom', 'PROPN'), ('innov', 'PROPN'), ('award', 'PROPN'), ('winner', 'NOUN'), ('booz', 'VERB'), ('allen', 'PROPN'), ('hamilton', 'PROPN')], 'named_entities': [('mluc custom innov', 'PERSON'), ('allen hamilton', 'PERSON')]}"
i current use the nikon d and love it but not as much as the canon d d i chose the d for the video feature my mistake,1,"{'cleaned_text': 'current use nikon love much canon chose video featur mistak', 'tokens': ['current', 'use', 'nikon', 'love', 'much', 'canon', 'chose', 'video', 'featur', 'mistak'], 'pos_tags': [('current', 'ADJ'), ('use', 'NOUN'), ('nikon', 'PROPN'), ('love', 'PROPN'), ('much', 'ADJ'), ('canon', 'NOUN'), ('chose', 'VERB'), ('video', 'NOUN'), ('featur', 'PROPN'), ('mistak', 'NOUN')], 'named_entities': []}"
google is always a good place to look should ve mentioned i worked on the mustang w my dad,1,"{'cleaned_text': 'googl alway good place look mention work mustang w dad', 'tokens': ['googl', 'alway', 'good', 'place', 'look', 'mention', 'work', 'mustang', 'w', 'dad'], 'pos_tags': [('googl', 'VERB'), ('alway', 'ADV'), ('good', 'ADJ'), ('place', 'NOUN'), ('look', 'VERB'), ('mention', 'NOUN'), ('work', 'PROPN'), ('mustang', 'PROPN'), ('w', 'PROPN'), ('dad', 'PROPN')], 'named_entities': [('mustang w dad', 'PERSON')]}"
played with an android google phone the slide out screen scares me i would break that fucker so fast still prefer my iphone,0,"{'cleaned_text': 'play android googl phone slide screen scare would break fucker fast still prefer iphon', 'tokens': ['play', 'android', 'googl', 'phone', 'slide', 'screen', 'scare', 'would', 'break', 'fucker', 'fast', 'still', 'prefer', 'iphon'], 'pos_tags': [('play', 'VERB'), ('android', 'ADJ'), ('googl', 'NOUN'), ('phone', 'NOUN'), ('slide', 'NOUN'), ('screen', 'NOUN'), ('scare', 'NOUN'), ('would', 'AUX'), ('break', 'VERB'), ('fucker', 'NOUN'), ('fast', 'ADV'), ('still', 'ADV'), ('prefer', 'VERB'), ('iphon', 'NOUN')], 'named_entities': [('android googl', 'PERSON')]}"
us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders,0,"{'cleaned_text': 'u plan resum militari tribun guantanamo bay time trial aig exec chrysler debt holder', 'tokens': ['u', 'plan', 'resum', 'militari', 'tribun', 'guantanamo', 'bay', 'time', 'trial', 'aig', 'exec', 'chrysler', 'debt', 'holder'], 'pos_tags': [('u', 'PROPN'), ('plan', 'NOUN'), ('resum', 'VERB'), ('militari', 'PROPN'), ('tribun', 'PROPN'), ('guantanamo', 'PROPN'), ('bay', 'PROPN'), ('time', 'NOUN'), ('trial', 'PROPN'), ('aig', 'NOUN'), ('exec', 'VERB'), ('chrysler', 'NOUN'), ('debt', 'NOUN'), ('holder', 'NOUN')], 'named_entities': [('resum militari', 'PERSON'), ('guantanamo bay', 'LOC'), ('aig', 'NORP'), ('chrysler', 'ORG')]}"
omg so bored amp my tattoooos are so itchy help aha,0,"{'cleaned_text': 'omg bore amp tattoooo itchi help aha', 'tokens': ['omg', 'bore', 'amp', 'tattoooo', 'itchi', 'help', 'aha'], 'pos_tags': [('omg', 'PROPN'), ('bore', 'PROPN'), ('amp', 'PROPN'), ('tattoooo', 'PROPN'), ('itchi', 'PROPN'), ('help', 'VERB'), ('aha', 'VERB')], 'named_entities': []}"
i m itchy and miserable,0,"{'cleaned_text': 'itchi miser', 'tokens': ['itchi', 'miser'], 'pos_tags': [('itchi', 'PROPN'), ('miser', 'NOUN')], 'named_entities': [('itchi miser', 'PERSON')]}"
no i m not itchy for now maybe later lol,0,"{'cleaned_text': 'itchi mayb later lol', 'tokens': ['itchi', 'mayb', 'later', 'lol'], 'pos_tags': [('itchi', 'PROPN'), ('mayb', 'PROPN'), ('later', 'PROPN'), ('lol', 'PROPN')], 'named_entities': [('itchi mayb', 'PERSON')]}"
rt i love the nerdy stanford human biology videos makes me miss school,1,"{'cleaned_text': 'rt love nerdi stanford human biolog video make miss school', 'tokens': ['rt', 'love', 'nerdi', 'stanford', 'human', 'biolog', 'video', 'make', 'miss', 'school'], 'pos_tags': [('rt', 'PROPN'), ('love', 'PROPN'), ('nerdi', 'PROPN'), ('stanford', 'PROPN'), ('human', 'PROPN'), ('biolog', 'NOUN'), ('video', 'NOUN'), ('make', 'VERB'), ('miss', 'ADJ'), ('school', 'NOUN')], 'named_entities': [('nerdi stanford', 'PERSON')]}"
has been a bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane,1,"{'cleaned_text': 'bit crazi steep learn curv lyx realli good long doc anyth shorter would insan', 'tokens': ['bit', 'crazi', 'steep', 'learn', 'curv', 'lyx', 'realli', 'good', 'long', 'doc', 'anyth', 'shorter', 'would', 'insan'], 'pos_tags': [('bit', 'NOUN'), ('crazi', 'PROPN'), ('steep', 'PROPN'), ('learn', 'PROPN'), ('curv', 'PROPN'), ('lyx', 'PROPN'), ('realli', 'PROPN'), ('good', 'PROPN'), ('long', 'ADV'), ('doc', 'PROPN'), ('anyth', 'NOUN'), ('shorter', 'ADJ'), ('would', 'AUX'), ('insan', 'VERB')], 'named_entities': []}"
i m listening to p y t by danny gokey lt lt lt aww he s so amazing i lt him so much,1,"{'cleaned_text': 'listen p danni gokey lt lt lt aww amaz lt much', 'tokens': ['listen', 'p', 'danni', 'gokey', 'lt', 'lt', 'lt', 'aww', 'amaz', 'lt', 'much'], 'pos_tags': [('listen', 'VERB'), ('p', 'PROPN'), ('danni', 'PROPN'), ('gokey', 'PROPN'), ('lt', 'PROPN'), ('lt', 'PROPN'), ('lt', 'PROPN'), ('aww', 'PROPN'), ('amaz', 'ADV'), ('lt', 'ADV'), ('much', 'ADV')], 'named_entities': [('listen p danni gokey lt lt lt aww', 'ORG')]}"
is going to sleep then on a bike ride,1,"{'cleaned_text': 'go sleep bike ride', 'tokens': ['go', 'sleep', 'bike', 'ride'], 'pos_tags': [('go', 'VERB'), ('sleep', 'NOUN'), ('bike', 'NOUN'), ('ride', 'NOUN')], 'named_entities': []}"
cant sleep my tooth is aching,0,"{'cleaned_text': 'cant sleep tooth ach', 'tokens': ['cant', 'sleep', 'tooth', 'ach'], 'pos_tags': [('ca', 'AUX'), ('nt', 'PART'), ('sleep', 'VERB'), ('tooth', 'NOUN'), ('ach', 'NOUN')], 'named_entities': []}"
blah blah blah same old same old no plans today going back to sleep i guess,0,"{'cleaned_text': 'blah blah blah old old plan today go back sleep guess', 'tokens': ['blah', 'blah', 'blah', 'old', 'old', 'plan', 'today', 'go', 'back', 'sleep', 'guess'], 'pos_tags': [('blah', 'INTJ'), ('blah', 'INTJ'), ('blah', 'INTJ'), ('old', 'ADJ'), ('old', 'ADJ'), ('plan', 'NOUN'), ('today', 'NOUN'), ('go', 'VERB'), ('back', 'ADV'), ('sleep', 'NOUN'), ('guess', 'NOUN')], 'named_entities': [('blah blah blah old old', 'PERSON'), ('today', 'DATE')]}"
glad i didnt do bay to breakers today it s freaking degrees in san francisco wtf,0,"{'cleaned_text': 'glad didnt bay breaker today freak degre san francisco wtf', 'tokens': ['glad', 'didnt', 'bay', 'breaker', 'today', 'freak', 'degre', 'san', 'francisco', 'wtf'], 'pos_tags': [('glad', 'ADJ'), ('did', 'AUX'), ('nt', 'PART'), ('bay', 'NOUN'), ('breaker', 'NOUN'), ('today', 'NOUN'), ('freak', 'PROPN'), ('degre', 'PROPN'), ('san', 'PROPN'), ('francisco', 'PROPN'), ('wtf', 'PROPN')], 'named_entities': [('today', 'DATE'), ('san francisco', 'GPE')]}"
obama administration must stop bonuses to aig ponzi schemers,0,"{'cleaned_text': 'obama administr must stop bonus aig ponzi schemer', 'tokens': ['obama', 'administr', 'must', 'stop', 'bonus', 'aig', 'ponzi', 'schemer'], 'pos_tags': [('obama', 'PROPN'), ('administr', 'PROPN'), ('must', 'AUX'), ('stop', 'VERB'), ('bonus', 'PROPN'), ('aig', 'PROPN'), ('ponzi', 'PROPN'), ('schemer', 'NOUN')], 'named_entities': [('obama administr', 'PERSON')]}"
started to think that citi is in really deep s amp t are they gonna survive the turmoil or are they gonna be the next aig,0,"{'cleaned_text': 'start think citi realli deep amp gon na surviv turmoil gon na next aig', 'tokens': ['start', 'think', 'citi', 'realli', 'deep', 'amp', 'gon', 'na', 'surviv', 'turmoil', 'gon', 'na', 'next', 'aig'], 'pos_tags': [('start', 'VERB'), ('think', 'VERB'), ('citi', 'PROPN'), ('realli', 'PROPN'), ('deep', 'PROPN'), ('amp', 'PROPN'), ('gon', 'NOUN'), ('na', 'ADP'), ('surviv', 'PROPN'), ('turmoil', 'NOUN'), ('gon', 'VERB'), ('na', 'PART'), ('next', 'VERB'), ('aig', 'NUM')], 'named_entities': []}"
shaunwoo hate n on aig,0,"{'cleaned_text': 'shaunwoo hate n aig', 'tokens': ['shaunwoo', 'hate', 'n', 'aig'], 'pos_tags': [('shaunwoo', 'PROPN'), ('hate', 'PROPN'), ('n', 'CCONJ'), ('aig', 'NOUN')], 'named_entities': [('shaunwoo', 'ORG')]}"
you will not regret going to see star trek it was awesome,1,"{'cleaned_text': 'regret go see star trek awesom', 'tokens': ['regret', 'go', 'see', 'star', 'trek', 'awesom'], 'pos_tags': [('regret', 'PROPN'), ('go', 'PROPN'), ('see', 'VERB'), ('star', 'PROPN'), ('trek', 'PROPN'), ('awesom', 'NOUN')], 'named_entities': []}"
annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that,0,"{'cleaned_text': 'annoy new trend internet peopl pick apart michael lewi malcolm gladwel nobodi want read', 'tokens': ['annoy', 'new', 'trend', 'internet', 'peopl', 'pick', 'apart', 'michael', 'lewi', 'malcolm', 'gladwel', 'nobodi', 'want', 'read'], 'pos_tags': [('annoy', 'VERB'), ('new', 'ADJ'), ('trend', 'NOUN'), ('internet', 'NOUN'), ('peopl', 'NOUN'), ('pick', 'PROPN'), ('apart', 'ADV'), ('michael', 'PROPN'), ('lewi', 'PROPN'), ('malcolm', 'PROPN'), ('gladwel', 'PROPN'), ('nobodi', 'PROPN'), ('want', 'VERB'), ('read', 'VERB')], 'named_entities': [('michael lewi', 'PERSON'), ('malcolm gladwel', 'PERSON')]}"
highly recommend by malcolm gladwell,1,"{'cleaned_text': 'highli recommend malcolm gladwel', 'tokens': ['highli', 'recommend', 'malcolm', 'gladwel'], 'pos_tags': [('highli', 'PROPN'), ('recommend', 'VERB'), ('malcolm', 'PROPN'), ('gladwel', 'PROPN')], 'named_entities': [('malcolm gladwel', 'PERSON')]}"
blink by malcolm gladwell amazing book and the tipping point,1,"{'cleaned_text': 'blink malcolm gladwel amaz book tip point', 'tokens': ['blink', 'malcolm', 'gladwel', 'amaz', 'book', 'tip', 'point'], 'pos_tags': [('blink', 'VERB'), ('malcolm', 'PROPN'), ('gladwel', 'PROPN'), ('amaz', 'ADV'), ('book', 'NOUN'), ('tip', 'NOUN'), ('point', 'NOUN')], 'named_entities': [('malcolm gladwel', 'PERSON')]}"
malcolm gladwell might be my new man crush,1,"{'cleaned_text': 'malcolm gladwel might new man crush', 'tokens': ['malcolm', 'gladwel', 'might', 'new', 'man', 'crush'], 'pos_tags': [('malcolm', 'PROPN'), ('gladwel', 'PROPN'), ('might', 'AUX'), ('new', 'ADJ'), ('man', 'NOUN'), ('crush', 'NOUN')], 'named_entities': [('malcolm gladwel', 'PERSON')]}"
omg the commercials alone on espn are going to drive me nuts,0,"{'cleaned_text': 'omg commerci alon espn go drive nut', 'tokens': ['omg', 'commerci', 'alon', 'espn', 'go', 'drive', 'nut'], 'pos_tags': [('omg', 'PROPN'), ('commerci', 'PROPN'), ('alon', 'PROPN'), ('espn', 'PROPN'), ('go', 'VERB'), ('drive', 'VERB'), ('nut', 'NOUN')], 'named_entities': []}"
playing with twitter api sounds fun may need to take a class or find a new friend who like to generate results with api code,1,"{'cleaned_text': 'play twitter api sound fun may need take class find new friend like gener result api code', 'tokens': ['play', 'twitter', 'api', 'sound', 'fun', 'may', 'need', 'take', 'class', 'find', 'new', 'friend', 'like', 'gener', 'result', 'api', 'code'], 'pos_tags': [('play', 'VERB'), ('twitter', 'NOUN'), ('api', 'NOUN'), ('sound', 'NOUN'), ('fun', 'NOUN'), ('may', 'AUX'), ('need', 'AUX'), ('take', 'VERB'), ('class', 'NOUN'), ('find', 'VERB'), ('new', 'ADJ'), ('friend', 'NOUN'), ('like', 'ADP'), ('gener', 'PROPN'), ('result', 'PROPN'), ('api', 'PROPN'), ('code', 'NOUN')], 'named_entities': []}"
hello twitter api,1,"{'cleaned_text': 'hello twitter api', 'tokens': ['hello', 'twitter', 'api'], 'pos_tags': [('hello', 'INTJ'), ('twitter', 'NOUN'), ('api', 'NOUN')], 'named_entities': []}"
because the twitter api is slow and most client s aren t good,0,"{'cleaned_text': 'twitter api slow client good', 'tokens': ['twitter', 'api', 'slow', 'client', 'good'], 'pos_tags': [('twitter', 'NOUN'), ('api', 'VERB'), ('slow', 'ADJ'), ('client', 'NOUN'), ('good', 'NOUN')], 'named_entities': []}"
yahoo answers can be a butt sometimes,0,"{'cleaned_text': 'yahoo answer butt sometim', 'tokens': ['yahoo', 'answer', 'butt', 'sometim'], 'pos_tags': [('yahoo', 'PROPN'), ('answer', 'PROPN'), ('butt', 'PROPN'), ('sometim', 'NOUN')], 'named_entities': []}"
is scrapbooking with nic d,1,"{'cleaned_text': 'scrapbook nic', 'tokens': ['scrapbook', 'nic'], 'pos_tags': [('scrapbook', 'PROPN'), ('nic', 'NOUN')], 'named_entities': []}"
rt five things wolfram alpha does better and vastly different than google,1,"{'cleaned_text': 'rt five thing wolfram alpha better vastli differ googl', 'tokens': ['rt', 'five', 'thing', 'wolfram', 'alpha', 'better', 'vastli', 'differ', 'googl'], 'pos_tags': [('rt', 'PROPN'), ('five', 'NUM'), ('thing', 'NOUN'), ('wolfram', 'NOUN'), ('alpha', 'NOUN'), ('better', 'ADJ'), ('vastli', 'PROPN'), ('differ', 'VERB'), ('googl', 'NOUN')], 'named_entities': [('five', 'CARDINAL')]}"
just changed my default pic to a nike basketball cause bball is awesome,1,"{'cleaned_text': 'chang default pic nike basketbal caus bball awesom', 'tokens': ['chang', 'default', 'pic', 'nike', 'basketbal', 'caus', 'bball', 'awesom'], 'pos_tags': [('chang', 'PROPN'), ('default', 'PROPN'), ('pic', 'PROPN'), ('nike', 'ADP'), ('basketbal', 'PROPN'), ('caus', 'PROPN'), ('bball', 'NOUN'), ('awesom', 'NOUN')], 'named_entities': [('chang default pic', 'PERSON')]}"
rt was just told that nike layoffs started today,0,"{'cleaned_text': 'rt told nike layoff start today', 'tokens': ['rt', 'told', 'nike', 'layoff', 'start', 'today'], 'pos_tags': [('rt', 'PROPN'), ('told', 'VERB'), ('nike', 'ADP'), ('layoff', 'PROPN'), ('start', 'VERB'), ('today', 'NOUN')], 'named_entities': [('rt told', 'PERSON'), ('today', 'DATE')]}"
back when i worked for nike we had one fav word just do it,1,"{'cleaned_text': 'back work nike one fav word', 'tokens': ['back', 'work', 'nike', 'one', 'fav', 'word'], 'pos_tags': [('back', 'ADV'), ('work', 'NOUN'), ('nike', 'ADP'), ('one', 'NUM'), ('fav', 'PROPN'), ('word', 'NOUN')], 'named_entities': [('one', 'CARDINAL')]}"
